Date,Open,High,Low,Close,Adj Close,Volume
2005-01-20,92.610001,93.839996,92.599998,93.000000,60.981991,5708600
2005-01-21,93.000000,93.300003,92.230003,92.379997,60.575439,7002600
2005-01-24,92.699997,92.849998,91.760002,91.790001,60.188580,6537300
2005-01-25,91.980003,92.589996,91.949997,92.190002,60.450851,5070700
2005-01-26,92.300003,92.870003,91.940002,91.949997,60.293495,5352000
2005-01-27,91.500000,92.220001,91.440002,91.980003,60.313190,4746900
2005-01-28,92.680000,93.589996,92.480003,92.889999,60.909882,5960600
2005-01-31,93.650002,93.949997,93.050003,93.419998,61.257404,4759900
2005-02-01,93.669998,94.000000,93.370003,93.860001,61.545906,3637400
2005-02-02,93.779999,94.349998,93.629997,94.300003,61.834415,3597400
2005-02-03,93.870003,93.940002,93.059998,93.540001,61.336086,3928700
2005-02-04,93.010002,94.739998,93.000000,94.510002,61.972141,3807600
2005-02-07,94.349998,94.900002,94.330002,94.529999,61.985237,2837800
2005-02-08,94.209999,94.639999,94.129997,94.129997,61.840721,3541100
2005-02-09,94.139999,94.830002,92.540001,92.699997,60.901230,5657100
2005-02-10,92.949997,93.099998,92.300003,92.760002,60.940659,4838400
2005-02-11,92.699997,93.970001,92.500000,93.300003,61.295464,4229300
2005-02-14,93.160004,94.019997,93.160004,93.570000,61.472828,2868800
2005-02-15,93.500000,94.669998,93.480003,94.330002,61.972084,4148000
2005-02-16,94.230003,94.970001,94.199997,94.620003,62.162632,4466500
2005-02-17,94.500000,94.760002,93.739998,93.750000,61.591061,4254200
2005-02-18,93.750000,94.250000,92.900002,93.269997,61.275723,4265300
2005-02-22,92.669998,93.500000,92.230003,92.320000,60.651588,4825100
2005-02-23,92.290001,92.440002,91.550003,92.099998,60.507061,5622800
2005-02-24,91.980003,93.089996,91.849998,92.639999,60.861809,4153900
2005-02-25,92.349998,92.800003,92.290001,92.800003,60.966949,4078500
2005-02-28,92.529999,92.760002,92.410004,92.580002,60.822403,4949800
2005-03-01,92.639999,93.430000,92.589996,93.300003,61.295464,3819900
2005-03-02,92.750000,93.730003,92.750000,92.919998,61.045776,4467400
2005-03-03,93.150002,93.209999,92.199997,92.410004,60.710735,4037800
2005-03-04,92.940002,93.180000,92.360001,92.370003,60.684441,4754000
2005-03-07,92.349998,92.510002,91.589996,91.599998,60.178612,7046900
2005-03-08,91.699997,92.559998,91.699997,92.129997,60.526756,5087800
2005-03-09,92.019997,93.000000,92.010002,92.349998,60.671303,4511200
2005-03-10,92.349998,92.800003,92.089996,92.410004,60.710735,3422500
2005-03-11,92.250000,92.410004,91.199997,91.510002,60.119469,4494300
2005-03-14,91.500000,92.040001,91.500000,91.900002,60.375660,3935500
2005-03-15,92.000000,92.269997,91.199997,91.379997,60.034019,3663100
2005-03-16,90.739998,91.400002,90.250000,90.650002,59.554459,5065300
2005-03-17,90.489998,90.680000,89.699997,89.860001,59.035454,5562100
2005-03-18,89.860001,89.900002,89.089996,89.279999,58.654404,7541500
2005-03-21,89.419998,90.279999,89.269997,89.510002,58.805500,4402400
2005-03-22,89.610001,90.339996,89.260002,89.500000,58.798935,4452500
2005-03-23,89.970001,91.169998,89.820000,90.519997,59.469040,5472100
2005-03-24,90.800003,91.550003,90.699997,90.699997,59.587303,4577100
2005-03-28,90.709999,91.629997,90.620003,91.040001,59.810677,4088900
2005-03-29,90.739998,91.070000,90.180000,90.599998,59.521606,6070400
2005-03-30,90.320000,90.879997,90.320000,90.680000,59.574165,5253900
2005-03-31,90.459999,91.410004,90.220001,91.379997,60.034019,4418600
2005-04-01,91.489998,91.760002,90.040001,90.440002,59.416512,5721200
2005-04-04,90.080002,90.620003,89.769997,90.320000,59.337646,3737800
2005-04-05,90.230003,90.330002,89.260002,89.570000,58.844925,4568400
2005-04-06,89.050003,89.379997,88.709999,89.000000,58.470448,7836800
2005-04-07,89.000000,89.199997,88.099998,88.440002,58.102554,6355700
2005-04-08,88.279999,88.459999,87.500000,87.599998,57.550697,5179200
2005-04-11,87.349998,87.559998,86.089996,86.199997,56.630920,8296500
2005-04-12,85.900002,86.239998,85.169998,85.750000,56.335274,8429700
2005-04-13,85.760002,85.970001,84.239998,84.570000,55.560055,7090700
2005-04-14,84.510002,85.410004,83.470001,83.639999,54.949062,10421200
2005-04-15,79.000000,79.660004,76.330002,76.699997,50.389709,27906300
2005-04-18,77.150002,77.750000,76.139999,76.650002,50.356857,13255000
2005-04-19,76.980003,77.199997,75.250000,75.480003,49.588200,9259900
2005-04-20,75.480003,75.870003,71.849998,72.010002,47.308514,20366300
2005-04-21,73.000000,74.099998,72.800003,74.029999,48.635586,16224400
2005-04-22,74.230003,74.699997,73.260002,74.209999,48.753845,10984400
2005-04-25,75.099998,75.720001,74.050003,74.610001,49.016640,10219400
2005-04-26,74.680000,76.980003,74.650002,75.430000,49.555347,12484300
2005-04-27,75.599998,77.180000,75.500000,77.050003,50.619652,11631400
2005-04-28,77.050003,77.110001,75.650002,75.910004,49.870697,8629200
2005-04-29,77.050003,77.080002,75.910004,76.379997,50.179462,8147700
2005-05-02,76.879997,77.290001,76.029999,76.510002,50.264889,7232500
2005-05-03,76.779999,76.959999,75.930000,76.470001,50.238598,6196300
2005-05-04,76.599998,77.199997,76.500000,77.080002,50.639359,5512300
2005-05-05,78.000000,78.110001,75.330002,75.500000,49.601349,12371800
2005-05-06,75.559998,75.919998,74.970001,75.260002,49.574986,7750300
2005-05-09,75.260002,75.459999,74.709999,74.980003,49.390556,5616700
2005-05-10,74.750000,74.760002,73.040001,73.300003,48.283890,7982200
2005-05-11,73.629997,73.690002,72.510002,73.279999,48.270729,6915700
2005-05-12,73.529999,73.800003,72.500000,72.620003,47.835968,6061900
2005-05-13,72.529999,73.860001,72.519997,73.160004,48.191700,7150600
2005-05-16,73.089996,74.489998,73.089996,74.339996,48.968964,5501500
2005-05-17,73.930000,74.430000,73.330002,74.290001,48.936024,5135600
2005-05-18,75.000000,76.820000,74.690002,76.360001,50.299568,10309600
2005-05-19,76.500000,77.639999,76.370003,77.160004,50.826542,7030400
2005-05-20,77.279999,77.279999,76.360001,76.410004,50.332504,6329800
2005-05-23,76.300003,76.949997,76.000000,76.510002,50.398392,4759800
2005-05-24,76.139999,76.510002,75.559998,75.809998,49.937279,5660700
2005-05-25,75.419998,76.029999,75.169998,76.000000,50.062439,5483400
2005-05-26,76.449997,77.410004,76.290001,77.139999,50.813370,5832000
2005-05-27,77.110001,77.239998,76.529999,77.099998,50.787033,3163900
2005-05-31,77.300003,77.410004,75.500000,75.550003,49.766026,6419000
2005-06-01,75.570000,77.500000,75.570000,76.839996,50.615765,7380600
2005-06-02,76.750000,77.389999,76.680000,77.349998,50.951706,4025600
2005-06-03,77.059998,77.099998,75.739998,75.790001,49.924095,6149900
